ID;Name;Description;ImageUrl;ReleaseDate;DiscontinuedDate;Price;Height;Width;Depth;Quantity
74867162-7f5b-402a-993d-8868972b9788;Laptop Business Pro;High performance 16GB RAM;https://img.com/lp.jpg;2024-01-10T00:00:00Z;;1250.00;1.80;35.00;24.00;15
db245595-601e-4f6c-941e-36202488a07c;Monitor UltraWide 34;Curved 4K Display;https://img.com/mon.jpg;2024-02-15T00:00:00Z;;450.99;40.00;82.00;20.00;8
a1b2c3d4-e5f6-47h8-a9f0-b1c2d3e4f5a6;Teclado Mecánico RGB;Silent Red Switches;https://img.com/tec.jpg;2023-11-20T00:00:00Z;;89.50;3.50;44.00;13.00;50
f9e8d7c6-b5a4-3210-9876-543210fedcba;Mouse Ergonómico;Optical 16000 DPI;https://img.com/mou.jpg;2024-03-01T00:00:00Z;;45.00;4.20;6.50;12.00;120
12345678-1234-5678-1234-567812345678;Silla Gamer Pro;Cuero sintético negro;https://img.com/sil.jpg;2023-05-10T00:00:00Z;;299.00;130.00;70.00;70.00;10
87654321-4321-8765-4321-876543218765;Escritorio Eléctrico;Altura regulable;https://img.com/esc.jpg;2023-08-25T00:00:00Z;;550.00;75.00;140.00;80.00;5
1a2b3c4d-5e6f-4a8b-9c0d-e1f2a3b4c5d6;Impresora Láser;Blanco y negro 40ppm;https://img.com/imp.jpg;2022-12-01T00:00:00Z;;180.00;25.00;40.00;38.00;12
a1b2c3d4-b5a4-4321-a1b2-c3d4e5f6a1b2;Webcam 4K;Streaming Ready;https://img.com/web.jpg;2024-01-05T00:00:00Z;;110.00;5.00;8.00;4.00;25
a1e2f3a4-b5c6-4d7e-8f9a-b1c2d3e4f5a6;Auriculares Noise Cancelling;Bluetooth 5.2;https://img.com/aur.jpg;2023-10-15T00:00:00Z;;220.00;18.00;16.00;8.00;40
c1b2d3e4-f5a6-4b7c-8d9e-f1a2b3c4d5e6;Disco Duro Externo 2TB;USB-C Fast Transfer;https://img.com/dd.jpg;2023-09-20T00:00:00Z;;75.00;1.20;8.00;11.00;60
a1b2c3d4-e5f6-4a8b-9c0d-a1b2c3d4e5f6;Adaptador Multi-puerto;HDMI, USB, SD;https://img.com/hub.jpg;2024-02-28T00:00:00Z;;35.00;1.00;10.00;3.00;100
b1c2d3e4-f5a6-4b7c-8d9e-b1c2d3e4f5a6;Tablet de Dibujo;1024 niveles presión;https://img.com/tab.jpg;2023-06-12T00:00:00Z;;150.00;0.80;25.00;15.00;18
c1d2e3f4-a1b2-4c3d-a1b2-c1d2e3f4a1b2;Micrófono de Condensador;Para Podcast;https://img.com/mic.jpg;2023-04-30T00:00:00Z;;95.00;20.00;6.00;6.00;30
d1e2f3a4-b5c6-4d7e-a1b2-c3d4e5f6a1b2;Soporte para Monitor;Brazo doble articulado;https://img.com/sop.jpg;2023-07-22T00:00:00Z;;65.00;40.00;10.00;10.00;45
e1f2a3b4-c5d6-4e7f-a1b2-c3d4e5f6a1b2;Router WiFi 6;Alta velocidad;https://img.com/rou.jpg;2024-01-20T00:00:00Z;;125.00;4.00;20.00;15.00;20
